Lane,Time,Diff From Season's Best
1,21.61,0.791599999999999
1,20.7,0.03640000000000043
1,20.3,0.047999999999998266
1,20.5,0.30749999999999744
1,28.8,8.415600000000001
1,21.33,0.4065000000000012
1,20.49,0.26759999999999806
1,20.66,0.550499999999996
1,20.56,0.0259999999999998
1,21.87,0.0
1,20.91,0.14880000000000493
1,20.72,0.5183999999999997
1,20.42,0.1963000000000008
1,20.33,0.0
1,20.32,0.35800000000000054
1,20.56,0.5600000000000023
1,20.82,0.2947999999999986
1,21.09,0.7995999999999981
1,20.56,0.2807999999999993
1,20.51,0.21039999999999992
1,20.33,0.15530000000000044
1,20.77,0.6004000000000005
1,20.97,0.0
1,20.9,0.15270000000000294
1,21.93,0.07000000000000028
1,21.77,0.0
1,20.86,0.6110999999999969
1,22.58,0.3796999999999997
1,20.94,0.5925000000000047
1,20.88,0.38319999999999865
1,20.41,0.342800000000004
1,20.22,0.0
1,20.88,0.2436000000000007
1,21.42,0.8132000000000019
1,20.86,0.5068000000000019
1,20.83,0.299199999999999
1,20.65,0.17439999999999856
1,21.06,0.5223999999999975
1,20.71,0.17849999999999966
1,20.36,0.28800000000000026
1,20.87,0.7911000000000001
1,20.87,0.0019000000000026773
1,20.7,0.3988000000000014
1,21.69,0.37079999999999913
1,20.51,0.346700000000002
1,21.36,0.5890999999999984
2,21.47,0.8031000000000006
2,20.24,0.0
2,20.47,0.4239999999999995
2,21.38,0.4379999999999953
2,20.85,0.10350000000000037
2,20.67,0.5393000000000043
2,20.89,0.2873000000000019
2,20.46,0.07840000000000202
2,20.24,0.5304999999999964
2,20.72,0.661999999999999
2,21.19,0.0
2,20.45,0.08440000000000225
2,20.2,0.0
2,20.13,0.22560000000000002
2,21.34,0.9983000000000004
2,20.86,0.9215000000000018
2,20.47,0.1892999999999958
2,20.64,0.054400000000001114
2,20.38,0.1565000000000012
2,20.49,0.2184999999999988
2,20.95,0.05600000000000094
2,20.24,0.0
2,20.59,0.22279999999999944
2,20.65,0.5779999999999994
2,21.2,0.0
2,21.24,0.0
2,20.89,0.2676000000000016
2,21.82,0.0
2,21.57,0.0
2,20.45,0.28749999999999787
2,22.29,0.36650000000000205
2,23.11,0.3572999999999986
2,20.55,0.33759999999999835
2,20.08,0.13989999999999725
2,20.5,0.7220000000000013
2,20.26,0.17840000000000344
2,20.43,0.26080000000000325
2,21.13,0.3295999999999992
2,21.44,0.5655999999999999
2,20.54,0.15039999999999765
2,20.59,0.49520000000000053
2,20.83,0.41689999999999827
2,20.4,0.18079999999999785
2,20.3,0.0365000000000002
2,20.82,0.5640000000000001
2,20.74,0.6670999999999978
